id,CoordinateID__abs_energy,CoordinateID__sum_values,CoordinateID__quantile__q_0.9,CoordinateID__quantile__q_0.8,CoordinateID__quantile__q_0.7,CoordinateID__quantile__q_0.6,CoordinateID__quantile__q_0.4,CoordinateID__quantile__q_0.3,CoordinateID__quantile__q_0.2,CoordinateID__quantile__q_0.1,CoordinateID__value_count__value_1,CoordinateID__median,CoordinateID__mean,CoordinateID__maximum,"CoordinateID__fft_coefficient__attr_""real""__coeff_0","CoordinateID__fft_coefficient__attr_""abs""__coeff_0","CoordinateID__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",CoordinateID__minimum,Magnitude__quantile__q_0.2,Magnitude__quantile__q_0.3,Magnitude__quantile__q_0.4,Magnitude__quantile__q_0.9,Magnitude__quantile__q_0.7,Magnitude__quantile__q_0.8,Magnitude__quantile__q_0.1,Magnitude__quantile__q_0.6,Magnitude__minimum,"Magnitude__fft_coefficient__attr_""abs""__coeff_0",Magnitude__mean,Magnitude__maximum,"Magnitude__fft_coefficient__attr_""real""__coeff_0","Magnitude__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",Magnitude__sum_values,Magnitude__median,Magnitude__abs_energy
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,58.61303641,22.73479896541076,35.94687343836882,11.36739948270538,16.075930517354855,58.61303641,58.61303641,3435.4880371999857
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,58.7837752,22.801025052711456,36.0515860765645,11.400512526355728,16.12275943277663,58.7837752,58.7837752,3455.532226764135
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,58.71842985,22.775678926890873,36.01151033283737,11.387839463445436,16.104837015332084,58.71842985,58.71842985,3447.854004049371
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,59.25144834,22.982425906013923,36.33840600953143,11.491212953006961,16.251029206259826,59.25144834,59.25144834,3510.734130387689
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,59.35017985,23.02072184099501,36.3989571993644,11.510360920497504,16.278108521576833,59.35017985,59.35017985,3522.4438482273463
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,59.75464564,23.177605854983184,36.64701260570058,11.588802927491592,16.38904227172764,59.75464564,59.75464564,3570.617675561971
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,59.94844791,23.25277779483407,36.76586987873157,11.626388897417035,16.442196860151146,59.94844791,59.94844791,3593.816406817983
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,59.98073421,23.2653009907781,36.78567079011543,11.63265049538905,16.4510520969253,59.98073421,59.98073421,3597.6884763706644
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,59.70100060000001,23.15679804029568,36.61411256192898,11.57839902014784,16.374328924860432,59.70100060000001,59.70100060000001,3564.209472641201
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,59.27937201,22.993256926938784,36.35553135728519,11.496628463469392,16.25868789460297,59.27937201,59.27937201,3514.0439458999717
